name,position,mlb_team,league_id,fantasy_team_id,fa_status
Dakota Hudson,SP,LAA,AA,,available
Joe Hudson,C,HOU,AA,,available
Levi Huesman,RP,WSH,AA,,available
Anthony Huezo,OF,HOU,AA,,available
Chance Huff,RP,WSH,AA,,available
Kody Huff,C,CLE,AA,,available
Sam Huff,C,SF,AA,,available
Riley Huge,RP,ATH,AA,,available
Kenya Huggins,SP,ATH,AA,,available
Brandon Hughes,RP,(N/A),AA,,available
CJ Hughes,SS,MIL,AA,,available
Gabriel Hughes,SP,COL,AA,,available
Grif Hughes,RP,TOR,AA,,available
Gus Hughes,RP,NYY,AA,,available
Jonathan Hughes,RP,(N/A),AA,,available
Logan Hughes,OF,(N/A),AA,,available
Nolan Hughes,RP,WSH,AA,,available
Griffin Hugus,SP,SEA,AA,,available
Eiker Huizi,RP,(N/A),AA,,available
Connor Hujsak,OF,TB,AA,,available
Nick Hull,RP,CHC,AA,,available
Niko Hulsizer,"SS,OF",(N/A),AA,,available
Cooper Hummel,OF,TB,AA,,available
Jacob Humphrey,OF,COL,AA,,available
Nathan Humphreys,OF,PHI,AA,,available
Zach Humphreys,C,LAA,AA,,available
Jackson Humphries,SP,CLE,AA,,available
Sean Hunley,RP,TB,AA,,available
Riely Hunsaker,SP,CHC,AA,,available
Blake Hunt,C,SEA,AA,,available
K.C. Hunt,SP,MIL,AA,,available
Cade Hunter,C,CIN,AA,,available
Caden Hunter,SP,BAL,AA,,available
Henry Hunter,C,CIN,AA,,available
Kenly Hunter,OF,STL,AA,,available
Jerry Huntzinger,C,TOR,AA,,available
Thatcher Hurd,"SP,RP",NYY,AA,,available
Devin Hurdle,2B,TEX,AA,,available
Jack Hurley,OF,ARI,AA,,available
Daviel Hurtado,SP,NYM,AA,,available
Joel Hurtado,SP,LAA,AA,,available
Ricardo Hurtado,C,DET,AA,,available
Victor Hurtado,OF,WSH,AA,,available
Jacob Hurtubise,OF,SEA,AA,,available
Grant Hussey,1B,(N/A),AA,,available
Drew Hutchison,RP,(N/A),AA,,available
Jun Seo Hwang,SP,(N/A),AA,,available
Braxton Hyde,RP,COL,AA,,available
Will Hynes,SP,CLE,AA,,available
Pedro Ibarguen,OF,MIL,AA,,available
Joel Ibarra,RP,LAD,AA,,available
Ruben Ibarra,1B,CIN,AA,,available
Cesar Idrogo,OF,(N/A),AA,,available
Ryan Ignoffo,C,MIA,AA,,available
Luis Ilarraza,SP,NYY,AA,,available
Anthony Imhoff,SP,(N/A),AA,,available
