C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2027,,1B,Cameron Sisneros,CHC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,2B,Tucker Toman,TOR,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,2B,Nick Morabito,NYM,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIL (25),2025,,2B,Nate Furman,CLE,,,,,,,,,,,,,,
,X,,,,,,22,,,,,,,,,Trade-LAA (23),EXEMPT,,2B,Cal Conley,ATL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),EXEMPT,,2B,Eddinson Paulino,BOS,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,Eligible,,2B,Jose Rodriguez ,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIL (25),2027,,2B,Luis De Leon,SD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SF (25),2026,,2B,Charles McAdoo,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 2,2026,,2B,Max Anderson,DET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),Eligible,,SS,Axel Sanchez,SEA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),2029,,SS,Juan Tomas,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 6,2028,,SS,Eddie King Jr,PIT,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SEA (25),EXEMPT,,SS,Aeverson Arteaga ,SF,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,EXEMPT,,SS,Reginald Preciado,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2027,,SS,Elias Medina,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SD (25),Eligible,,SS,Ben Cowles,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIL (25),2026,,SS,Abrahan Ramirez,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2028,,SS,Emil Morales,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-NYM (25),2027,,SS,Derniche Valdez,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 5,2028,,SS,Daniel Dickinson,MIL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 3,2028,,SS,Colin Yeaman,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-TB (25),2028,,SS,Fernando Cruz,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-NYM (25),2026,,SS,Dyan Jorge,COL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 2,2029,,SS,Quentin Young,MIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,SS,Juan Baez,MIL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PIT (25),2028,,SS,Dawel Joseph,SEA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2027,,SS,Felnin Celesten,SEA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-STL (25),2028,,SS,Daiber De Los Santos,MIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-LAD (25),2027,,SS,Nazzan Zanetello,BOS,,,,,,,,,,,,,,
