"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*0321h*","Luis Garcia","(N/A)","RP","838","FA","38","","80.5","1.36","0","-","7%","0%"
"*03y4y*","Enyel De Los Santos","HOU","RP","841","FA","29","","80","1.23","0","-","5%","0%"
"*03qlm*","Tyler Ferguson","ATH","RP","842","FA","32","","80","1.51","2","464.7","6%","0%"
"*02bq7*","Robert Stephenson","LAA","RP","843","FA","32","","80","1.57","27","462.3","27%","0%"
"*02i3d*","Manuel Margot","(N/A)","OF","845","FA","31","","79.5","1.99","0","-","3%","0%"
"*041z3*","John Schreiber","KC","RP","846","FA","31","","79.5","1.12","3","465.6","17%","0%"
"*041rq*","Brenan Hanifee","DET","RP","849","FA","27","","79","1.49","0","-","10%","0%"
"*02n3l*","Taylor Rogers","(N/A)","RP","853","FA","35","","79","1.3","0","-","9%","0%"
"*0422c*","Kyle Hart","SD","RP","858","FA","33","","78.5","2.38","3","467.2","11%","0%"
"*06kwi*","Kyle Backhus","PHI","RP","864","FA","27","","77.5","1.06","0","-","7%","0%"
"*041vp*","Santiago Espinal","(N/A)","3B","871","FA","31","","75","1.83","0","-","7%","0%"
"*047sh*","Wandy Peralta","SD","RP","873","FA","34","","75","1.03","0","-","8%","0%"
"*01ucb*","Drew Pomeranz","LAA","RP","877","FA","37","","74","1.48","12","481.3","12%","0%"
"*03drx*","Connor Seabold","ATL","RP","878","FA","29","","74","7.4","0","-","3%","0%"
"*02zif*","Ryan Pressly","(N/A)","RP","883","FA","37","","73.5","1.47","0","-","8%","0%"
"*02bqn*","Michael Kelly","ATH","RP","889","FA","33","","72","1.67","6","470.2","8%","0%"
"*04022*","Tim Hill","NYY","RP","891","FA","35","@SF Wed 5:05PM","71.5","1.08","0","-","9%","0%"
"*02j6w*","Jose Urena","(N/A)","RP","892","FA","34","","71.5","3.25","0","-","4%","0%"
"*025ey*","Luke Jackson","(N/A)","RP","893","FA","34","","71","1.39","3","468.5","8%","0%"
"*02j7h*","Jacob Stallings","(N/A)","C","895","FA","36","","71","1.61","0","-","4%","0%"
"*03di6*","Jordan Romano","LAA","RP","896","FA","32","","70.5","1.44","9","468.8","18%","0%"
"*03qt6*","Tyler Phillips","MIA","RP","899","FA","28","","70","1.37","5","467.6","14%","0%"
"*02jhl*","Rafael Montero","(N/A)","RP","906","FA","35","","68.5","1.2","0","-","4%","0%"
"*03btm*","Jose Alvarado","PHI","RP","908","FA","30","","68","1.48","21","492.7","31%","0%"
"*0513g*","Cody Freeman","TEX","2B","910","FA","24","","68","2.62","0","-","11%","0%"
"*04ehv*","Bryce Johnson","SD","OF","912","FA","30","","68","1.62","3","467.7","6%","0%"
"*041pq*","Taylor Trammell","(N/A)","OF","913","FA","28","","68","2.06","0","-","7%","0%"
"*02c4r*","Jon Berti","(N/A)","3B","914","FA","35","","67.5","2.25","0","-","4%","0%"
"*025jv*","Yuli Gurriel","(N/A)","UT","923","FA","41","","66.5","2.08","0","-","1%","0%"
"*031cs*","Austin Wynns","ATH","C","928","FA","35","","66.5","2.02","8","478.5","5%","0%"
"*03qm3*","Tyler Gilbert","CHW","RP","935","FA","32","","65.5","1.36","0","-","5%","0%"
"*03ppa*","A.J. Minter","NYM","RP","937","FA","32","","65.5","1.56","15","472.9","19%","0%"
"*0374o*","Chad Green","(N/A)","RP","944","FA","34","","64.5","1.32","0","-","5%","0%"
"*03d6v*","Michael Kopech","(N/A)","RP","950","FA","29","","64","2.29","20","485","30%","0%"
"*04pvq*","PJ Poulin","WSH","RP","952","FA","29","","64","1.52","2","463.6","6%","0%"
"*03pzo*","Leody Taveras","BAL","OF","957","FA","27","","62.5","1.89","3","467.9","11%","0%"
"*061t3*","Brennan Bernardino","COL","RP","959","FA","33","","61.5","1.1","0","-","6%","0%"
"*04ek8*","Connor Brogdon","CLE","RP","960","FA","30","","61.5","1.31","0","-","3%","0%"
"*05jnq*","Clayton Beeter","WSH","RP","965","FA","27","","60.5","1.83","21","487.1","25%","0%"
"*02z0e*","Yimi Garcia","TOR","RP","966","FA","35","","60.5","1.55","15","491.4","21%","0%"
