ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*04ppy*,Reid Schaller,(N/A),SP,8538,FA,28,,0,0,0,-,1%,0%
*06gj0*,Shay Schanaman,ATL,RP,8539,FA,26,,0,0,0,-,0%,0%
*06akt*,Dominic Scheffler,CIN,RP,8540,FA,21,,0,0,0,-,0%,0%
*05uom*,Matt Scheffler,(N/A),C,8541,FA,27,,0,0,0,-,0%,0%
*04ega*,Jake Scheiner,(N/A),1B,8542,FA,30,,0,0,0,-,0%,0%
*04eh7*,Alex Scherff,(N/A),SP,8543,FA,27,,0,0,0,-,2%,0%
*06hep*,Luke Scherrer,PIT,1B,8544,FA,21,,0,0,0,-,0%,0%
*06qnu*,Jason Schiavone,HOU,C,8545,FA,22,,0,0,0,-,0%,0%
*06qss*,Ryan Schiefer,(N/A),SP,8547,FA,22,,0,0,0,-,0%,0%
*05174*,Tyler Schlaffer,CHC,SP,8548,FA,24,,0,0,0,-,2%,0%
*069xx*,Logan Schmidt,(N/A),"1B,SP",8550,FA,17,,0,0,0,-,1%,0%
*06hew*,William Schmidt,(N/A),SP,8551,FA,20,,0,0,0,-,1%,0%
*072eh*,Tyler Schmitt,SD,SP,8552,FA,21,,0,0,0,-,0%,0%
*063vy*,Garrett Schoenle,CHW,RP,8555,FA,27,,0,0,0,-,0%,0%
*06cq6*,Tyler Schoff,WSH,RP,8557,FA,27,,0,0,0,-,0%,0%
*0519j*,T.J. Schofield-Sam,ATH,1B,8558,FA,24,,0,0,0,-,0%,0%
*06hu3*,Will Schomberg,MIA,"SP,RP",8559,FA,24,,0,0,0,-,2%,0%
*05yda*,Jake Schrand,(N/A),SP,8561,FA,26,,0,0,0,-,0%,0%
*066jz*,Troy Schreffler,NYM,OF,8562,FA,25,,0,0,0,-,0%,0%
*06amt*,Kyle Schroedle,(N/A),OF,8564,FA,25,,0,0,0,-,0%,0%
*06qja*,Jay Schueler,TOR,RP,8566,FA,24,,0,0,0,-,0%,0%
*06ooi*,Cam Schuelke,CLE,RP,8567,FA,24,,0,0,0,-,0%,0%
*04q1l*,Austin Schulfer,(N/A),RP,8568,FA,30,,0,0,0,-,1%,0%
*0514n*,Andrew Schultz,(N/A),RP,8569,FA,28,,0,0,0,-,0%,0%
*06s3k*,Connor Schultz,CHC,"SP,RP",8570,FA,26,,0,0,0,-,0%,0%
*06fzd*,Thomas Schultz,WSH,RP,8572,FA,26,,0,0,0,-,0%,0%
*03dq3*,J.J. Schwarz,(N/A),1B,8575,FA,29,,0,0,0,-,0%,0%
*0519z*,Trevor Schwecke,(N/A),"3B,OF",8576,FA,28,,0,0,0,-,0%,0%
*0662s*,Jonah Scolaro,CHW,SP,8578,FA,27,,0,0,0,-,0%,0%
*04pqn*,Adam Scott,(N/A),"SP,RP",8579,FA,30,,0,0,0,-,0%,0%
*04oh1*,Connor Scott,KC,OF,8580,FA,26,,0,0,0,-,3%,0%
*06htb*,Kyle Scott,CLE,RP,8581,FA,23,,0,0,0,-,0%,0%
*06c1i*,Matt Scott,(N/A),SP,8582,FA,22,,0,0,0,-,0%,0%
*06fz8*,Quincy Scott,TEX,1B,8583,FA,23,,0,0,0,-,1%,0%
*057w1*,Stephen Scott,(N/A),C,8584,FA,28,,0,0,0,-,1%,0%
*066cg*,Wesley Scott,KC,SP,8586,FA,24,,0,0,0,-,0%,0%
*05178*,Cody Scroggins,(N/A),RP,8587,FA,29,,0,0,0,-,0%,0%
*041u2*,Andre Scrubb,(N/A),RP,8588,FA,31,,0,0,0,-,1%,0%
*06mpt*,Shane Sdao,(N/A),RP,8590,FA,22,,0,0,0,-,0%,0%
*06hef*,Chandler Seagle,ATL,C,8591,FA,29,,0,0,0,-,0%,0%
*06ysh*,Jacob Seamon,(N/A),OF,8592,FA,16,,0,0,0,-,1%,0%
*066by*,Ben Sears,KC,RP,8594,FA,25,,0,0,0,-,0%,0%
*06qlm*,Parker Seay,NYY,RP,8596,FA,24,@SF Wed 5:05PM,0,0,0,-,0%,0%
*06ql4*,Zander Sechrist,MIN,RP,8597,FA,23,,0,0,0,-,0%,0%
*041m7*,Cody Sedlock,(N/A),RP,8598,FA,30,,0,0,0,-,1%,0%
*06z3o*,Trey Seeley,SF,SP,8599,FA,23,NYY Wed 5:05PM,0,0,0,-,0%,0%
*06tae*,Matt Seelinger,DET,RP,8600,FA,30,,0,0,0,-,0%,0%
*05l1m*,Eduar Segovia,PHI,SP,8601,FA,25,,0,0,0,-,0%,0%
*06422*,Enrique Segura,TEX,SP,8602,FA,21,,0,0,0,-,2%,0%
*066nr*,Anson Seibert,(N/A),3B,8603,FA,20,,0,0,0,-,0%,0%
*066js*,Billy Seidl,(N/A),SP,8604,FA,26,,0,0,0,-,0%,0%
*06l45*,Hayden Seig,LAA,RP,8605,FA,27,,0,0,0,-,0%,0%
*06rhr*,Kegnnalex Seijas,MIL,1B,8606,FA,20,,0,0,0,-,0%,0%
*04eed*,Chris Seise,(N/A),SS,8607,FA,27,,0,0,0,-,1%,0%
*06ky3*,Brock Sell,(N/A),OF,8608,FA,19,,0,0,0,-,0%,0%
*06hf2*,Trent Sellers,NYY,SP,8609,FA,26,@SF Wed 5:05PM,0,0,0,-,1%,0%
*06hwz*,Jack Sellinger,MIA,RP,8610,FA,26,,0,0,0,-,0%,0%
*06cp8*,Moises Semerite,(N/A),SS,8612,FA,19,,0,0,0,-,0%,0%
*05jr6*,Adam Seminaris,PHI,SP,8613,FA,27,,0,0,0,-,2%,0%
*060gm*,Montana Semmel,(N/A),RP,8614,FA,24,,0,0,0,-,0%,0%
*04elc*,Shawn Semple,(N/A),SP,8615,FA,30,,0,0,0,-,0%,0%
*06mno*,Reidis Sena,BOS,RP,8617,FA,24,,0,0,0,-,1%,0%
*072bj*,Andrew Sentlinger,CHW,RP,8618,FA,22,,0,0,0,-,0%,0%
*03zc9*,Nick Senzel,LAD,"3B,OF",8619,FA,30,,0,0,0,-,2%,0%
*060w0*,Gabriel Sequeira,(N/A),RP,8620,FA,28,,0,0,0,-,0%,0%
*06rls*,Joseph Sequera,PIT,C,8621,FA,20,,0,0,0,-,0%,0%
*05l4m*,Manuel Sequera,(N/A),SS,8623,FA,23,,0,0,0,-,1%,0%
*06cqk*,Omar Serna,(N/A),C,8625,FA,19,,0,0,0,-,0%,0%
*04nur*,Florencio Serrano,TEX,RP,8627,FA,25,,0,0,0,-,0%,0%
*05rjc*,Jhoniel Serrano,MIA,SP,8628,FA,22,,0,0,0,-,0%,0%
*05rzk*,Jose Serrano,(N/A),1B,8629,FA,22,,0,0,0,-,0%,0%
*06umy*,Jose Serrano,HOU,RP,8630,FA,21,,0,0,0,-,0%,0%
*072jh*,Samil Serrano,(N/A),OF,8631,FA,17,,0,0,0,-,0%,0%
*0657b*,Danny Serretti,ARI,3B,8633,FA,25,,0,0,0,-,2%,0%
*041rz*,Brian Serven,ATH,C,8634,FA,30,,0,0,0,-,1%,0%
*05jpc*,Anthony Servideo,(N/A),3B,8635,FA,26,,0,0,0,-,2%,0%
*06r9f*,Kenny Serwa,DET,SP,8636,FA,28,,0,0,0,-,2%,0%
*05r0t*,Anderson Severino,NYM,RP,8638,FA,31,,0,0,0,-,0%,0%
*06rw9*,Carlos Severino,PHI,SS,8639,FA,17,,0,0,0,-,0%,0%
*06rsr*,Frailyn Severino,(N/A),3B,8640,FA,19,,0,0,0,-,0%,0%
*06c8s*,Juan Severino,STL,RP,8642,FA,21,,0,0,0,-,0%,0%
*06rss*,Lluveres Severino,TOR,RP,8643,FA,22,,0,0,0,-,0%,0%
*03ap0*,Pedro Severino,(N/A),C,8644,FA,32,,0,0,0,-,0%,0%
*04ahd*,Yunior Severino,(N/A),OF,8645,FA,26,,0,0,0,-,4%,0%
*05gtm*,Jehisbert Sevilla,PHI,2B,8646,FA,22,,0,0,0,-,0%,0%
*06yuz*,Dylan Seward,(N/A),SS,8647,FA,17,,0,0,0,-,1%,0%
*051av*,Aaron Shackelford,(N/A),"3B,SS",8649,FA,29,,0,0,0,-,0%,0%
*06fz7*,Colby Shade,MIA,OF,8650,FA,24,,0,0,0,-,1%,0%
*06qpy*,Jacob Shafer,ATL,SP,8651,FA,23,,0,0,0,-,1%,0%
*06uy8*,Bryce Shaffer,TB,RP,8652,FA,24,,0,0,0,-,0%,0%
*072bh*,Andrew Shaffner,CIN,RP,8653,FA,23,,0,0,0,-,0%,0%
*06fqs*,Teddy Sharkey,BAL,RP,8654,FA,24,,0,0,0,-,1%,0%
*06hoj*,Jacob Sharp,TOR,C,8655,FA,24,,0,0,0,-,1%,0%
*066fl*,Reese Sharp,(N/A),SP,8656,FA,25,,0,0,0,-,0%,0%
*0424b*,Sterling Sharp,(N/A),SP,8657,FA,30,,0,0,0,-,0%,0%
*05u9f*,Davis Sharpe,CLE,RP,8658,FA,25,,0,0,0,-,0%,0%
*06hoo*,A.J. Shaver,(N/A),OF,8659,FA,24,,0,0,0,-,0%,0%
*01uay*,Bryan Shaw,(N/A),RP,8660,FA,38,,0,0,0,-,0%,0%
*06z3p*,Colton Shaw,SEA,SP,8661,FA,22,,0,0,0,-,1%,0%
*06qr7*,Evan Shaw,LAD,RP,8662,FA,24,,0,0,0,-,0%,0%
*05tzk*,Evan Shawver,COL,RP,8664,FA,26,,0,0,0,-,1%,0%
*06dvt*,Tanner Shears,(N/A),SP,8665,FA,26,,0,0,0,-,0%,0%
*06umi*,Tommy Sheehan,CHW,SP,8666,FA,26,,0,0,0,-,0%,0%
*03c9c*,Justus Sheffield,(N/A),"SP,RP",8667,FA,29,,0,0,0,-,0%,0%
*06yt7*,Noah Sheffield,(N/A),3B,8668,FA,19,,0,0,0,-,0%,0%
*06zbf*,Jake Shelagowski,STL,RP,8669,FA,22,,0,0,0,-,0%,0%
*06al9*,Colby Shelton,CHW,SS,8670,FA,23,,0,0,0,-,2%,0%
*06fus*,Easton Shelton,LAD,1B,8671,FA,20,,0,0,0,-,3%,0%
*05yar*,Rouselle Shepard,(N/A),SS,8674,FA,18,,0,0,0,-,0%,0%
*06qoc*,Blake Shepardson,CHW,RP,8675,FA,22,,0,0,0,-,0%,0%
*06hhh*,Anthony Sherwin,HOU,3B,8677,FA,23,,0,0,0,-,0%,0%
*0662p*,Jun-Seok Shim,NYM,RP,8680,FA,21,,0,0,0,-,6%,0%
*06hs0*,Wooyeoul Shin,(N/A),1B,8681,FA,24,,0,0,0,-,1%,0%
*06qou*,Jake Shirk,PIT,RP,8682,FA,23,,0,0,0,-,0%,0%
*06qxo*,Dylan Shockley,ATL,C,8684,FA,28,,0,0,0,-,0%,0%
*05y4r*,Adam Shoemaker,(N/A),SP,8685,FA,23,,0,0,0,-,0%,0%
*06qvj*,Kodey Shojinaga,PHI,"C,1B",8686,FA,22,,0,0,0,-,1%,0%
*05t66*,TJ Shook,COL,RP,8687,FA,27,,0,0,0,-,1%,0%
*0519b*,Avery Short,ARI,SP,8689,FA,24,,0,0,0,-,1%,0%
*04pqc*,Aaron Shortridge,(N/A),SP,8691,FA,28,,0,0,0,-,0%,0%
*06r4q*,Carter Shouse,(N/A),OF,8692,FA,16,,0,0,0,-,0%,0%
*02hkk*,Chasen Shreve,(N/A),RP,8694,FA,35,,0,0,0,-,0%,0%
*051cf*,Ryan Shreve,TB,RP,8695,FA,27,,0,0,0,-,0%,0%
*06kjw*,Garrett Shull,(N/A),OF,8696,FA,20,,0,0,0,-,0%,0%
*0514g*,Seth Shuman,WSH,"SP,RP",8697,FA,28,,0,0,0,-,1%,0%
*03qmv*,Nicholas Shumpert,(N/A),SS,8698,FA,29,,0,0,0,-,0%,0%
*06zic*,RJ Shunck,MIA,RP,8699,FA,22,,0,0,0,-,0%,0%
*04yik*,Sammy Siani,SEA,OF,8700,FA,25,,0,0,0,-,4%,0%
*06zrb*,Evan Siary,TEX,SP,8701,FA,22,,0,0,0,-,0%,0%
*03zxi*,Jose Sibrian,(N/A),C,8702,FA,27,,0,0,0,-,0%,0%
*072ft*,Cooper Sides,(N/A),SP,8703,FA,18,,0,0,0,-,0%,0%
*060ph*,Armando Sierra,(N/A),OF,8704,FA,21,,0,0,0,-,1%,0%
*04z97*,Diomede Sierra,(N/A),SP,8705,FA,24,,0,0,0,-,0%,0%
*06cp6*,Juan Sierra,HOU,OF,8706,FA,20,,0,0,0,-,0%,0%
*03h8n*,Magneuris Sierra,(N/A),OF,8707,FA,29,,0,0,0,-,0%,0%
*05y6u*,Phillip Sikes,BOS,OF,8708,FA,26,,0,0,0,-,1%,0%
*066dg*,Easton Sikorski,CIN,RP,8710,FA,26,,0,0,0,-,0%,0%
*06rii*,Renny Sillet,(N/A),C,8711,FA,18,,0,0,0,-,0%,0%
*06c5l*,Anthony Silva,CLE,2B,8712,FA,22,,0,0,0,-,0%,0%
*06rl4*,Brahian Silva,(N/A),C,8713,FA,23,,0,0,0,-,0%,0%
*066mh*,Carlos Silva,MIN,C,8714,FA,19,,0,0,0,-,2%,0%
*066os*,Daniel Silva,NYM,1B,8715,FA,21,,0,0,0,-,0%,0%
*06rjz*,Gabriel Silva,KC,C,8717,FA,22,,0,0,0,-,0%,0%
*06ak9*,Heribert Silva,CLE,OF,8718,FA,19,,0,0,0,-,1%,0%
*06rh9*,Manuel Silva,(N/A),UT,8719,FA,18,,0,0,0,-,0%,0%
*066jx*,William Silva,(N/A),SP,8720,FA,24,,0,0,0,-,0%,0%
*06uy9*,Yeferson Silva,(N/A),RP,8721,FA,20,,0,0,0,-,0%,0%
*06hs6*,Anthony Silvas,(N/A),"SP,RP",8722,FA,23,,0,0,0,-,0%,0%
*05yei*,Yoelvin Silven,(N/A),SP,8723,FA,26,,0,0,0,-,0%,0%
*060of*,Andres Silvera,PIT,RP,8724,FA,21,,0,0,0,-,1%,0%
*06kgn*,Franchely Silverio,HOU,SS,8725,FA,19,,0,0,0,-,0%,0%
*06awl*,Freilyn Silverio,CHC,SP,8726,FA,20,,0,0,0,-,0%,0%
*060qq*,Jesus Silverio,ATH,SP,8727,FA,23,,0,0,0,-,0%,0%
*06rjm*,Engel Silvestre,COL,RP,8728,FA,20,,0,0,0,-,0%,0%
*06ekk*,Kevin Sim,(N/A),1B,8729,FA,23,,0,0,0,-,1%,0%
*06uy6*,Yoryi Simarra,(N/A),RP,8730,FA,21,,0,0,0,-,0%,0%
*051jn*,Karson Simas,BOS,2B,8731,FA,24,,0,0,0,-,1%,0%
*060wb*,Kohl Simas,CHW,SP,8732,FA,26,,0,0,0,-,1%,0%
*06ybd*,Miguel Sime,WSH,SP,8733,FA,18,,0,0,0,-,10%,0%
*06tlj*,Victor Simeon,TEX,RP,8734,FA,25,,0,0,0,-,0%,0%
*06hwi*,Dylan Simmons,CIN,RP,8735,FA,25,,0,0,0,-,0%,0%
*04prp*,Kendall Simmons,(N/A),3B,8736,FA,25,,0,0,0,-,1%,0%
*06qh7*,Kenyon Simmons,(N/A),3B,8737,FA,18,,0,0,0,-,0%,0%
*06301*,Toby Simmons,(N/A),OF,8738,FA,21,,0,0,0,-,0%,0%
*06hud*,Ben Simon,NYM,RP,8739,FA,23,,0,0,0,-,0%,0%
*067x1*,Johan Simon,DET,RP,8741,FA,24,,0,0,0,-,1%,0%
*06qxh*,William Simoneit,(N/A),C,8743,FA,29,,0,0,0,-,0%,0%
*06af8*,Anthony Simonelli,KC,RP,8744,FA,27,,0,0,0,-,0%,0%
*055bz*,Colin Simpson,(N/A),OF,8745,FA,29,,0,0,0,-,0%,0%
*06u7e*,Hale Sims,CHW,RP,8748,FA,26,,0,0,0,-,0%,0%
*06r74*,Savion Sims,(N/A),SP,8750,FA,18,,0,0,0,-,1%,0%
*05xq3*,Nick Sinacola,SF,RP,8751,FA,26,NYY Wed 5:05PM,0,0,0,-,2%,0%
*06rjn*,Jack Sinclair,WSH,RP,8752,FA,26,,0,0,0,-,0%,0%
*01srk*,Jon Singleton,HOU,UT,8753,FA,34,,0,0,0,-,1%,0%
*06qsj*,Justin Sinibaldi,CHW,SP,8754,FA,23,,0,0,0,-,0%,0%
*06ylq*,Kyle Sinzza,ARI,2B,8756,FA,18,,0,0,0,-,1%,0%
*066qb*,Jean Carlos Sio,SF,"2B,SS",8757,FA,21,NYY Wed 5:05PM,0,0,0,-,1%,0%
*039vx*,Jose Siri,NYM,OF,8758,FA,30,,0,0,3,463.9,8%,0%
*06byh*,Saul Siri,CHC,RP,8759,FA,21,,0,0,0,-,0%,0%
*06qh4*,Givian Sirvania,BOS,3B,8761,FA,18,,0,0,0,-,0%,0%
*03117*,Chance Sisco,(N/A),C,8762,FA,30,,0,0,0,-,0%,0%
*06nk6*,Cameron Sisneros,CHC,1B,8763,FA,24,,0,0,0,-,0%,0%
*066ly*,Carson Skipper,COL,RP,8764,FA,26,,0,0,0,-,0%,0%
*05ogv*,Noah Skirrow,(N/A),SP,8765,FA,27,,0,0,0,-,0%,0%
*06qox*,Ryan Slater,SF,RP,8766,FA,23,NYY Wed 5:05PM,0,0,0,-,1%,0%
*070cz*,Braeden Sloan,BAL,RP,8769,FA,22,,0,0,0,-,0%,0%
*06qgr*,Ethan Sloan,DET,RP,8770,FA,23,,0,0,0,-,0%,0%
*060y0*,Colby Smelley,(N/A),C,8773,FA,25,,0,0,0,-,0%,0%
