TOLEDO MUD HENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Dylan Wilson,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Jaydenn Estanista,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Dax Fulton,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Nick Brink,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Estibenzon Jimenez,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Zach Peek,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Coleman Picard,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Justin Storm,MIA,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,RP,Pierce Johnson,ATL,"2,137,500",,,,,,,,,,,,
