LOUISVILLE BATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Coleman Crow,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Trendan Parish,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Payton Martin,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jeter Martinez,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Parker Messick,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Luis Morales,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Keeler Morfe,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Austin Peterson,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Michael Forret,BAL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dalvinson Reyes,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Hayden Robinson,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Bradgley Rodriguez,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Manuel Rodriguez,MIL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Shai Romero,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Miguel Ullola,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jordy Vargas,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jakob Wright,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,George Klassen,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Henry Baez,SD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Brandon Birdsell,CHC,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
,,,,,,,,,,,,,,,,,,RP,Derek Law,WAS,"3,000,000",,,,,,,,,,,,
,,,Oct 2025,,,,,,,,,,,,,,,SP,Spencer Strider,ATL,"6,250,000",,,,,,,,,,,,
